File,Format,Name,Serial No.,Confidence,Status
student_0002.docx,—,Sneha Gupta,STU-2024-0002,100%,Complete
student_0003.docx,—,Pooja Agarwal,STU-2024-0003,100%,Complete
student_0004.docx,—,Amit Kumar,STU-2024-0004,100%,Complete
student_0005.docx,—,Arjun Yadav,STU-2024-0005,100%,Complete
student_0006.docx,—,Ritika Saxena,STU-2024-0006,100%,Complete
student_0007.docx,—,Priya Sharma,STU-2024-0007,100%,Complete
student_0008.docx,—,Vikram Tiwari,STU-2024-0008,100%,Complete
student_0009.docx,—,Amit Kumar,STU-2024-0009,100%,Complete
student_0010.docx,—,Amit Kumar,STU-2024-0010,100%,Complete
student_0011.docx,—,Ananya Reddy,STU-2024-0011,100%,Complete
student_0012.docx,—,Harsh Malhotra,STU-2024-0012,100%,Complete
student_0013.docx,—,Neha Patel,STU-2024-0013,100%,Complete
